Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.024600,0.617408,375.433922,1.777900,,0,,
spaceStation_13,OK,9149,0.027600,0.614976,1262.164116,1.996800,,0,,
bcsstk23,OK,29737,0.030700,0.624256,390.683889,1.816800,,0,,
bcsstm13,OK,54380,0.030700,0.620864,377.264023,1.840100,,0,,
g7jac020,OK,63905,0.060400,0.642272,1300.242901,4.585500,,0,,
lpl1,OK,97633,0.139300,0.871776,534.239769,5.981200,,0,,
net50,OK,151640,0.092200,13.603328,1750.988960,25.386800,,0,,
msc04515,OK,169488,0.026600,0.623936,419.417381,1.850700,,0,,
tandem_vtx,OK,193422,0.127000,0.987264,1360.252619,5.351400,,0,,
delaunay_n17,OK,263620,0.197600,1.509920,770.914078,9.950200,,0,,
ex9,OK,288450,0.032800,0.642240,1237.118721,1.848400,,0,,
mac_econ_fwd500,OK,298904,1.223700,3.240384,1983.850718,11.907100,,0,,
torso2,OK,466426,0.109600,1.473984,1947.932005,7.801900,,0,,
wiki-Vote,OK,608389,0.133100,0.972544,413.349867,6.054900,,0,,
bcsstk24,OK,703212,0.033800,0.656672,1359.076262,2.317600,,0,,
mc2depi,OK,1048576,0.361500,2.527360,2173.681736,15.941600,,0,,
dawson5,OK,1428486,0.145400,1.300064,1881.536961,8.065000,,0,,
struct3,OK,1891920,0.095200,1.393504,940.858126,8.187900,,0,,
g7jac140sc,OK,3863178,0.160800,1.570624,1228.574991,7.671800,,0,,
nemeth16,OK,4161903,0.028700,1.245664,689.342976,3.247000,,0,,
webbase-1M,OK,6106033,0.822300,3.988448,3271.452427,42.463200,,0,,
pli,OK,6162461,0.061400,1.401760,1914.737463,4.062100,,0,,
Freescale1,OK,7502150,1.990700,11.634688,15737.869978,44.612600,,0,,
web-NotreDame,OK,8910005,0.351200,2.224576,1878.165483,18.582500,,0,,
cage14,OK,9610982,23.808000,34.392799,21669.772625,46.010400,,0,,
pcrystk03,OK,9821374,0.047100,1.361216,1781.651258,4.388600,,0,,
pkustk06,OK,12965280,0.079900,1.490368,1971.433640,10.291200,,0,,
bcsstk30,OK,15073574,0.049200,10.264224,2060.680389,25.762100,,0,,
cant,OK,18370150,0.239600,2.217088,3620.993853,12.253200,,0,,
consph,OK,34125815,0.218100,2.810368,4094.763517,15.648800,,0,,
pdb1HYS,OK,48319315,0.190500,2.329536,3786.378384,12.174300,,0,,
pwtk,OK,56997681,0.162800,4.054912,8081.047058,24.507400,,0,,
F1,OK,189516446,0.975900,9.225440,17646.391153,49.226800,,0,,
eu-2005,OK,202170577,8.710100,18.905760,11670.807362,13.445900,,0,,
Si41Ge41H72,OK,573035723,7.282700,12.159072,9793.840885,30.649300,,0,,
Ga41As41H72,OK,574004800,11.080700,16.612768,11770.144224,38.675500,,0,,
