Dataset,Triangles,Preprocess_ms,Convert_ms,Kernel_ms,Total_ms
adder_dcop_30,6646,0.289536,0.525216,0.127680,.942432
bcsstk23,29737,0.351776,0.725568,0.039168,1.116512
bcsstk24,703212,20.694208,34.598175,0.023840,55.316223
bcsstk30,15073574,1.116960,2.194272,0.038528,3.349760
bcsstm13,54380,0.306944,0.640832,0.032160,.979936
cage14,9610982,13.427232,2.916352,0.722880,17.066464
cant,18370150,1.480320,0.887296,0.036352,2.403968
circuit_3,12508,0.299104,0.438880,0.103488,.841472
com-Youtube,3056386,2.657248,1.648512,3.452832,7.758592
consph,34125815,23.121248,35.918369,0.054432,59.094049
dawson5,1428486,0.770048,1.678208,0.153248,2.601504
delaunay_n17,263620,0.740768,0.657856,0.055808,1.454432
eu-2005,202170577,19.615232,18.010464,2.752960,40.378656
ex9,288450,0.469440,0.497344,0.039104,1.005888
F1,189516446,17.861343,8.532800,0.890464,27.284607
flickr,172005468,5.082880,2.417024,23.607136,31.107040
Freescale1,7502150,7.975104,1.913568,0.477152,10.365824
g7jac020,63905,0.294560,0.424192,0.053248,.772000
g7jac140sc,3863178,0.671008,0.656768,0.276960,1.604736
Ga41As41H72,574004800,9.555264,1.690208,0.795552,12.041024
Hamrle3,81,2.353408,1.303584,0.196416,3.853408
higgs-twitter,83023401,7.592384,4.555648,37.194145,49.342177
hollywood-2009,4916374555,61.995007,12.688864,167.327393,242.011264
lpl1,97633,0.496512,0.550336,0.140608,1.187456
mac_econ_fwd500,298904,0.797376,0.689696,0.105344,1.592416
mc2depi,1048576,0.870560,0.719008,0.056032,1.645600
msc04515,169488,0.387168,0.406176,0.021472,.814816
nemeth16,4161903,0.683808,0.608928,0.031776,1.324512
net50,151640,0.748064,0.665152,0.043584,1.456800
p2p-Gnutella06,1142,0.285216,0.478400,0.070240,.833856
patents_main,97026,0.691296,0.967360,0.538176,2.196832
pcrystk03,9821374,0.891456,0.627776,0.028896,1.548128
pdb1HYS,48319315,1.567648,0.791424,0.057568,2.416640
pkustk06,12965280,1.039232,0.690816,0.092800,1.822848
pli,6162461,0.839808,0.652896,0.037344,1.530048
pwtk,56997681,5.775936,1.075744,0.067840,6.919520
road_usa,438804,30.374817,8.664704,4.277760,43.317281
shyy41,3040,0.273312,0.415008,0.019008,.707328
Si41Ge41H72,573035723,7.456288,1.344256,0.610560,9.411104
soc-Slashdot0811,551724,0.766848,0.794464,0.722272,2.283584
spaceStation_13,9149,0.283520,0.412896,0.030240,.726656
struct3,1891920,0.755936,0.632352,0.030432,1.418720
tandem_vtx,193422,0.446784,0.504032,0.055008,1.005824
torso2,466426,0.718080,0.648736,0.030912,1.397728
webbase-1M,6106033,0.995552,0.855200,0.252288,2.103040
web-Google,13391903,2.090144,2.801152,13.344800,18.236096
web-NotreDame,8910005,0.870720,0.732608,0.131872,1.735200
wiki-Vote,608389,0.361632,0.484320,0.143232,.989184
