Dataset,Triangles,Preprocess_ms,Convert_ms,Kernel_ms,Total_ms
adder_dcop_30,6646,0.277344,0.415424,0.093728,.786496
bcsstk23,29737,0.300736,0.431392,0.046016,.778144
bcsstk24,703212,0.404160,0.427456,0.044288,.875904
bcsstk30,15073574,0.932640,0.664480,0.055584,1.652704
bcsstm13,54380,0.282432,0.424000,0.046816,.753248
cage14,9610982,16.055328,2.894336,1.348064,20.297728
cant,18370150,1.320960,0.753856,0.054112,2.128928
circuit_3,12508,0.292704,0.441024,0.151680,.885408
com-Youtube,3056386,2.634592,1.588096,5.674528,9.897216
consph,34125815,2.621728,0.847648,0.083456,3.552832
dawson5,1428486,0.739936,0.662272,0.064992,1.467200
delaunay_n17,263620,0.733376,0.660864,0.085216,1.479456
eu-2005,202170577,9.989344,3.371872,3.589856,16.951072
ex9,288450,0.401344,0.423712,0.039520,.864576
F1,189516446,13.680000,2.777440,1.152448,17.609888
flickr,172005468,5.079264,2.419360,53.938271,61.436895
Freescale1,7502150,8.028448,1.968288,0.870592,10.867328
g7jac020,63905,0.297696,0.422432,0.091904,.812032
g7jac140sc,3863178,0.696800,0.670368,0.571936,1.939104
Ga41As41H72,574004800,9.682656,1.733216,1.010656,12.426528
Hamrle3,81,6.127936,4.579520,0.259136,10.966592
higgs-twitter,83023401,7.637024,4.601824,78.253181,90.492029
hollywood-2009,4916374555,62.016769,12.660800,269.108978,343.786547
lpl1,97633,0.500480,0.567744,0.234720,1.302944
mac_econ_fwd500,298904,0.810880,0.706528,0.198208,1.715616
mc2depi,1048576,0.873728,0.710272,0.084224,1.668224
msc04515,169488,0.390304,0.420320,0.034944,.845568
nemeth16,4161903,0.698720,0.611456,0.036608,1.346784
net50,151640,0.746464,0.657728,0.085568,1.489760
p2p-Gnutella06,1142,0.282368,0.472032,0.143040,.897440
patents_main,97026,0.712608,0.948704,0.824128,2.485440
pcrystk03,9821374,0.892736,0.643872,0.047232,1.583840
pdb1HYS,48319315,1.533120,0.748640,0.067008,2.348768
pkustk06,12965280,1.049568,0.688448,0.104000,1.842016
pli,6162461,0.823072,0.646016,0.053056,1.522144
pwtk,56997681,5.790752,1.065056,0.083424,6.939232
road_usa,438804,30.363264,8.676576,8.620480,47.660320
shyy41,3040,0.292512,0.408832,0.037856,.739200
Si41Ge41H72,573035723,7.454688,1.327520,0.729344,9.511552
soc-Slashdot0811,551724,0.778208,0.817504,1.624736,3.220448
spaceStation_13,9149,0.300160,0.425952,0.042592,.768704
struct3,1891920,0.763872,0.640224,0.042784,1.446880
tandem_vtx,193422,0.446208,0.501408,0.077664,1.025280
torso2,466426,0.722176,0.645856,0.055584,1.423616
webbase-1M,6106033,0.990368,0.838112,0.345728,2.174208
web-Google,13391903,2.099424,2.814368,20.022528,24.936320
web-NotreDame,8910005,0.842720,0.696768,0.224512,1.764000
wiki-Vote,608389,0.374816,0.474336,0.279488,1.128640
